"name_common","councildistrict","address_provided","assettype","assettype_notes","live_music","event_venue","capacity","discipline","discp_note","website","web_notes","zip","camp_id","year_updated","location_1"
"Gallarieint Wax","0","no","Gallery/ Museum","Gallery/ Museum"," ",," ","Visual Arts"," "," "," ","78723","1675","2014","
Austin, TX 78723
(0.0, 0.0)"
"Smith Road Studios","3","yes","Artist Studios/ Workshops","Coworking"," ","Event Venue"," ","Multidisciplinary"," "," ","0","0","151","2016","1407 Smith Rd
,  0
(30.256654, -97.678836)"
"Vortex Theater","1","yes","Theater","Theater"," ",," ","Theater Arts"," Theater"," "," ","78722","1608","2014","2307 Manor Rd
Austin, TX 78722
(30.284373, -97.718096)"
"Vessel Coworking","4","yes","Artist Studios/ Workshops","Coworking"," ",," ","Multidisciplinary"," ","https://www.vesselcoworking.com/","A creative, productive environment, Vessel offers freelancers, entrepreneurs, remote workers, small startups, and everything in between the space and amenities needed to get going or keep going. ","78752","2681","2016","500 East St Johns Ave
Austin, TX 78752
(30.333641, -97.70575)"
"Austin Originals Intl","1","yes","Artist Studios/ Workshops","Studio, Workshop"," ",," ","Textile/Apparel"," Textile/Apparel"," "," ","78723","1681","2014","1606 Chatham Ave
Austin, TX 78723
(30.315629, -97.69306)"
"Tiny Park Gallery","1","yes","Gallery/ Museum","Gallery/ Museum"," ",," ","Visual Arts"," "," ","<strong style=""font-family: Garamond, Baskerville, Georgia, 'Times New Roman', Times, serif; font-size: 16px; line-height: 24px; "">Tiny Park</strong><span style=""font-family: Garamond, Baskerville, Georgia, 'Times New Roman', Times, serif; font-size: 16p","78702","745","2016","1101 Navasota
Austin, TX 78702
(30.268463, -97.72661)"
"L. Nowlin Gallery","9","yes","Gallery/ Museum","Gallery/ Museum"," ",," ","Visual Arts"," ","http://www.lnowlingallery.com","L. Nowlin Gallery, owned and operated by local photographer Lesley Nowlin, (www.lesleynowlinphoto.com) opened its doors in the spring of 2009 in Austin's artistic West End District. L. Nowlin Gallery strives to provide a unique space to expose photograph","78703","941","2016","1202 West 6Th Street
Austin, TX 78703
(30.27307, -97.757145)"
"Catfish Concerts | House Concerts","5","yes","Event/ Festival","House Concerts","Live Music",," ","Music","Americana, Folk/Acoustic","http://catfishconcerts.com/","Held once a month, hosted by Brian T. Atkinson and presented by Jenni Finlay Promotions, the Catfish Concert series provides incredible Americana music in an intimate setting. Come out, relax, and enjoy some of the best of the best songs and stories.","78745","2262","2016","2506 Lazy Oaks Drive
Austin, TX 78745
(30.205081, -97.812978)"
"BiRDHOUSE","3","yes","Gallery/ Museum","Gallery/ Museum"," ",," ","Visual Arts"," ","http://www.birdhousegallery.com","BiRDHOUSE is an independent gallery space owned and run by independent artists that is dedicated to supporting our eclectic and emerging independent art scene here in AUSTIN and globally.","78702","748","2016","1304 E Cesar Chavez
Austin, TX 78702
(30.259778, -97.731412)"
"Pioneer Farms","0","yes","Gallery/ Museum","Gallery/ Museum"," ",," ","Other"," ","http://www.pioneerfarms.org","An outdoor living history museum, Pioneer Farms presents the story of rural life in central Texas during the 1880's.  Using historically correct farm animals, crops, clothing, furnishings, buildings, implements and food, costumed interpreters offer a com","78754","2829","2014","10621 Pioneer Farms Dr
Austin, TX 78754
(30.345825, -97.661056)"
"Jones Auditorium","3","yes","Theater","Theater"," ",," ","Theater Arts"," "," ","Performing Arts Auditorium on the St. Edwards University Campus","78704","1315","2016","3001 South Congress Avenue
Austin, TX 78704
(30.232938, -97.758051)"
"Institution Theater","3","yes","Theater","Theater"," ",," ","Theater Arts"," ","http://www.theinstitutiontheater.com/","The Institution Theater is a fully operational school on Improvisation, Sketch Writing, and Comedic Acting with 8-week programs available for different levels of experience (listed below). In addition, we occasionally offer one-off classes with easier ti","78704","1314","2016","3708 Woodbury Drive
Austin, TX 78704
(30.225688, -97.75985)"
"Tinka's Dance Studio","0","yes","Artist Studios/ Workshops","Dance Studio"," ",," ","Dance"," Dance"," "," ","78728","1823","2014","2013 Wells Branch Pkwy
Austin, TX 78728
(30.435135, -97.682312)"
"Flamencura Music And Dance Studio","7","yes","Artist Studios/ Workshops","Dance Studio"," ",," ","Dance"," Dance","http://flamencura.org","Classes & events","78757","2954","2014","7113 Burnet Rd
Austin, TX 78757
(30.347434, -97.735879)"
"Russell Collection Fine Art Gallery","9","yes","Gallery/ Museum","Gallery/ Museum"," ",," ","Visual Arts"," ","http://www.russell-collection.com","The Russell Collection is a World Class gallery filled with museum quality art. They set out to offer something different to the serious art collector in central Texas. 

The current collection includes the works of Rembrandt, Mary Cassatt, Marc Chagall,","78703","944","2014","1137 W 6Th St
Austin, TX 78703
(30.272404, -97.756957)"
"Peckerheads on Sixth","9","yes","Bar/Club/Venue","Bar/Club/Venue","Live Music",," ","Music","Americana, Country, Rock"," ","Come party with us on Historic 6th Street in Austin, Texas. Cheap drinks, great music.","78701","325","2016","402 East Sixth Street
Austin, TX 78701
(30.267298, -97.739012)"
"Evangeline Cafe","8","yes","Restaurant","Restaurant","Live Music",,"75","Music","Blues, Cajun/Zydeco, Folk/Acoustic","http://www.evangelinecafe.com/","Evangeline Cafe is Austin's most authentic Cajun Restaurant featuring a wide variety of music & many of the city's most beloved musicians are regular performers at Evangeline. Friday and Saturday, music starts at 10:00 p.m.. Monday thru Thursday we have","0","3374","2016","8106 Brodie Lane
Austin, TX 0
(30.202507, -97.838374)"
"Austin 360 Amphitheater","2","yes","Theater","Theater","Live Music",,"14000","Music","Country, Pop, Rock","http://austin360amphitheater.com/","The Austin 360 Amphitheater is Austin's new destination to see the brightest stars in a world-class, open-air amphitheater. The venue, which is situated within Circuit of The Americas’ 1,300-acre sports and entertainment complex, has room for up to 14,","78767","3352","2016","9201 Circuit of the Americas Blvd.
Austin, TX 78767
(30.134165, -97.638429)"
"Winship Drama Building, Texas Performing Arts, The University of Texas at Austin","9","yes","Theater","Theater"," ",," ","Theater Arts"," ","http://www.finearts.utexas.edu/tad/index.cfm","The Department of Theatre and Dance at The University of Texas at Austin exists as a diverse educational community of artists and scholars who are committed to excellence in teaching, research, creative practice and service. The UTPAC trains students to","78705","1422","2016","300 East 23Rd Street
Austin, TX 78705
(30.285422, -97.734)"
"Bass Concert Hall, Texas Performing Arts, University Of Texas At Austin","9","yes","Theater","Theater"," ",,"2913","Theater Arts"," Theater","http://www.texasperformingarts.org/","The Bass Concert Hall is the flagship theater of the UT Performing Arts Center. It is a 3,000 seat proscenium theatre suitable for large presentations as Broadway, symphony orchestra and ballet, as well as recitals by major classical artists, pop and roc","78712","1485","2014","2350 Robert Dedman Dr
Austin, TX 78712
(30.28513, -97.737776)"
"Polka Lovers Club Of Texas Museum","0","yes","Gallery/ Museum","Gallery/ Museum"," ",," ","Dance"," Dance"," "," ","78746","2413","2014","515 Yaupon Valley Rd
Austin, TX 78746
(30.292674, -97.807316)"
"Joyce Willett School Of Dance (Windsor Studio)","4","yes","Artist Studios/ Workshops","Dance Studio"," ",," ","Dance"," Dance"," "," ","78723","1686","2014","5811 Berkman Dr
Austin, TX 78723
(30.311918, -97.693441)"
"Mccullough Theatre, Texas Performing Arts, University Of Texas At Austin","1","yes","Theater","Theater"," ",," ","Theater Arts"," Theater","http://www.utpac.org","Located adjacent to Bass Concert Hall, the McCullough Theatre features 400 seats, a 30-foot proscenium stage and an orchestra pit equipped for 35 musicians. Host to UT Opera student productions and other PAC events, this versatile space accommodates cham","78712","1490","2014","2375 Robert Dedman Drive
Austin, TX 78712
(30.28766, -97.729712)"
"County Line Bar-B-Q","6","yes","Restaurant","Restaurant","Live Music",," ","Music"," ","http://www.countyline.com/","The County Line was formed by some Texans who loved Austin; loved its heritage and historical buildings; loved BBQ; and were committed to running a restaurant based on four principles: First: offer the highest quality smoked barbecue – ribs, brisket, s","78731","1975","2016","5204 FM 2222
Austin, TX 78731
(30.433541, -97.73035)"
"Sahara Lounge","1","yes","Bar/Club/Venue","Bar/Club/Venue","Live Music",," ","Music"," ","http://www.saharalounge.com/location.php","Sahara Lounge is an inviting Eastside Austin live music venue with a relaxed, eclectic atmosphere. Live shows include Indie, African, Blues, Rock, Country, Swing, Brazilian, Funk and everything in between. Formerly the historic TC's Lounge, the building","78721","1583","2016","1413 Webberville Road
Austin, TX 78721
(30.279535, -97.680987)"
"Studio 40","3","yes","Bar/Club/Venue","Bar/Club/Venue","Live Music",," ","Music"," ","http://www.studio41austintx.com/","Studio 41 Austin's newest events center has approximately 8000 sq./ft. to offer with a 120 sq./ft. stage and an exclusive green room. A 2500 sq./ft. back room (available for bar set up) opens to a 4500 sq./ft. room that has a dedicated 3500 sq./t dance f","78704","1096","2016","2410 East Riverside Drive
Austin, TX 78704
(30.237046, -97.723303)"
"Bone Black Studio & Gallery, Women Printmakers of Austin","3","yes","Gallery/ Museum","Gallery/ Museum"," ",," ","Visual Arts"," ","http://www.boneblackstudio.com/","The Gallery and studio space of the Women Printmakers of Austin, located in the Canopy Arts Complex
","0","176","2016","916 Springdale Rd
,  0
(30.261871, -97.698289)"
"El Arroyo On Far West","1","yes","Restaurant","Restaurant","Live Music",," ","Music"," ","http://elarroyo.com/","Mexican restaurant that also features live music.","0","3369","2016","2815 Manor Road
Austin, TX 0
(30.285139, -97.711119)"
"Gemini Playhouse","2","yes","Theater","Theater"," ",," ","Theater Arts"," ","http://www.thegeminiplayhouse.com","We at The Gemini Playhouse are thrilled to be a part of the South Austin Community and strive to help nurture the artistic talent that lives within it.  We offer a 70-seat theatre called The Playhouse, a dance studio called the Tabita Studio and the Comf","78744","2257","2016","5214 Burleson Rd
Austin, TX 78744
(30.210632, -97.726622)"
"Highball","5","yes","Bar/Club/Venue","Bar/Club/Venue","Live Music",," ","Music"," ","http://www.thehighball.com","The best diner this side of 1960, featuring eight lanes of bowling with rental by the hour; seven different themed karaoke rooms; four lanes of skee-ball with ticketed prizes you won't find anywhere else and a ballroom event space set to host the best da","78704","1091","2016","1142 S Lamar Blvd
Austin, TX 78704
(30.255384, -97.762244)"
"Curtain Theatre","0","yes","Theater","Theater","Live Music",," ","Music"," "," ","A little-known replica of William Shakespeare's Globe theater has been constructed on the banks of Lake Austin, and is the home of Austin's only historical Shakespeare company ""The Baron's Men"" as well as Austin Shakespeare Festival. Built by l","78730","1908","2016","7400 Coldwater Canyon
Austin, TX 78730
(30.357324, -97.81257)"
"O. Henry Museum, City Of Austin,  Parks & Recreation","9","yes","Gallery/ Museum","Gallery/ Museum"," ",," ","Literary Arts"," ","http://www.austintexas.gov/department/o-henry-museum; www.ohenrymuseum.org","The famous author, O. Henry's home while living in Austin.  The museum hosts a permanent exhibit, as well as tours, youth and adult workshops, and the utterly punny Pun-Off World Championships. Free admission: Hours: Wednesday – Sundays, Noon &ndas","78701","411","2014","409 E 5Th St
Austin, TX 78701
(30.265839, -97.739655)"
"Brand New Theatre Co.","0","yes","Artist Studios/ Workshops","Studio, Workshop"," ",," ","Theater Arts"," ","http://brandnewtheatreco.com","The Brand New Theatre Co. is a North Austin studio dedicated to training actors, developing playwrights and producing brand new theatre.","78729","1852","2016","8701 W Parmer Ln
Austin, Tx 78729
(30.467771, -97.761556)"
"First Unitarian Universalist Church Of Austin","7","yes","House of Worship","House of Worship","Live Music",," ","Other"," House of Worship","www.austinuu.org","This church holds various community events including music and theater performances throughout the year.","78756","2911","2014","4700 Grover Ave
Austin, TX 78756
(30.317822, -97.737806)"
"Libertine Gallery","9","yes","Gallery/ Museum","Gallery/ Museum"," ",," ","Visual Arts"," ","http://libertinegallery.com","The Libertine Gallery strives to present art and jewelry that is different and edgy but beautiful and of the highest quality. Libertine has it all, representing local as well as nationally renowned artists.","78701","426","2016","612 Brazos 100
Austin, TX 78701
(30.267901, -97.741707)"
"NeWorld Deli","9","yes","Bar/Club/Venue","Bar/Club/Venue","Live Music",," ","Music","Folk/Acoustic","http://www.neworldeli.com/","New World Deli came into existence because owners Greg and Sarah Bontempo wanted to create a restaurant where their young children could come to work with them and they would not have to rely on day care.
When you enter NeWorlDeli you are greeted by the","78751","2627","2016","4101 Guadalupe Street
Austin, TX 78751
(30.306265, -97.735514)"
"Water Tank Bar","7","yes","Bar/Club/Venue","Bar/Club/Venue","Live Music",," ","Music","Blues, Country, Rock","http://www.austinwatertank.com/","The Water Tank is a nightclub / restaurant located in north Austin. Enjoy some of the best bands in Austin every Wednesday, and Thursday nights as we bring on some of the most talented musicians Central Texas has to offer! If you enjoy friendly people an","78729","1854","2016","7309 McNeil Road
Austin, TX 78729
(30.375146, -97.725871)"
"Robin Cheers Fine Artist","10","yes","Artist Studios/ Workshops","Studio, Workshop"," ",," ","Visual Arts"," "," "," ","78759","3180","2014","6704 Winnipeg Cv
Austin, TX 78759
(30.41284, -97.76958)"
"The Lost Well","3","yes","Bar/Club/Venue","Bar/Club/Venue","Live Music",," ","Music","Country, Rock"," ","The Lost Well will hosta live bands Thursday through Saturday. Friendly neighborhood bar with an outdoor patio, live music, good beer and friendly faces!","78702","651","2016","2421 Webberville Road
Austin, TX 78702
(30.242879, -97.762223)"
"Gallery at Museo","10","yes","Gallery/ Museum","Gallery/ Museum"," ",," ","Visual Arts"," ","http://www.museoliving.com","<div id=""refHTML"">This is a gallery in the Museo apartment home complex</div>","78759","3228","2016","11266 Taylor Draper Ln
Austin, TX 78759
(30.410535, -97.752754)"
"Zilker Hillside Theater, City of Austin, Parks & Recreation","9","yes","Theater","Theater"," ",," ","Theater Arts"," Theater","http://www.austintexas.gov/zilkerhillsidetheater","Outdoor theater in Zilker Park","78704","1005","2014","2206 William Barton Dr
Austin, TX 78704
(30.264969, -97.773148)"
"Dog & Duck Pub","1","yes","Bar/Club/Venue","Bar/Club/Venue","Live Music",," ","Music"," ","http://www.dogandduckpub.com","Locally owned and operated since 1990, the Dog & Duck Pub occupies an old building filled with ambience that includes a pressed tin ceiling, mahogany bar, pub-couch seating, and hardwood floors.

<b>Hours:</b> Monday-Saturday 11:00am-2:00am, Sunday 12:00","78702","643","2016","2400 Webberville Rd
Austin, TX 78702
(30.262986, -97.714927)"
"Texas Bar and Grill","0","yes","Restaurant","Restaurant","Live Music",,"175","Music","Blues, Rock","http://www.tbagaustin.com/","The Texas Bar and Grill hosts live music Friday and Saturday. Happy hour is every day from 11 a.m. to 7 p.m.. We are open 11 a.m.-2 a.m. Monday-Friday and noon-2 a.m. Saturday-Sunday. Capacity is 175 and cover charge ranges from $3-5 on weekends. Karaoke","78728","1845","2016","14611 Burnet Road
Austin, TX 78728
(30.450393, -97.695003)"
"Hideout Theatre","9","yes","Theater","Theater","Live Music",,"75","Theater Arts"," Theater","http://www.hideouttheatre.com","The Hideout Theatre in downtown Austin features comedy, film, music, live theatre, and more as well as musical and theatrical productions by various other, local performing arts organizations.","78701","561","2014","617 Congress Ave
Austin, TX 78701
(30.268146, -97.74245)"
"Link & Pin Studios","3","yes","Artist Studios/ Workshops","Studio, Workshop"," ",," ","Visual Arts"," ","http://linkpinart.com/","Link & Pin is a new art space dedicated to local, quality art. The concept of Link & Pin is a progressive ""artist-influenced"" space offering artists not only a place to show their work but also a community they can be a part of and have an impa","78702","633","2016","2235 East 6Th
Austin, TX 78702
(30.259893, -97.718243)"
"Link & Pin Gallery","3","yes","Gallery/ Museum","Gallery/ Museum"," ",," ","Visual Arts"," "," ","0","0","184","2016","2235 E 6Th St
,  0
(30.259893, -97.718243)"
"Austin City Dance Club","10","yes","Artist Studios/ Workshops","Dance Studio"," ",," ","Dance"," Dance"," "," ","78759","3170","2014","11804 Arabian Trl
Austin, TX 78759
(30.422297, -97.754805)"
"Saxon Pub at Austin Bergstrom International Airport","2","yes","Restaurant","Airport Venue","Live Music",,"300","Music","Blues, Country, Folk/Acoustic","http://www.austintexas.gov/department/music-air-0","The Saxon Pub at Austin Bergstrom International Airport features a wide variety of live music Monday thru Friday from 3pm - 5pm. We operate seven days per week and most genres of music are performed. We book Austin artists only. In-house P.A. and sound s","78719","1559","2016","3600 Presidential
Austin, TX 78719
(30.202149, -97.666829)"
"Sky Candy Austin Circus Arts","3","yes","Artist Studios/ Workshops","Studio, Workshop"," ",," ","Visual Arts"," "," "," ","78702","639","2014","507 Calles St
Austin, TX 78702
(30.257995, -97.712499)"
"Cedar Street Courtyard","9","yes","Bar/Club/Venue","Bar/Club/Venue","Live Music",," ","Music"," ","http://www.cedarstreetaustin.com","Located in the heart of the Warehouse District, the Cedar Street Courtyard has a vast selection of cigars and specialty martinis at the king of gin joints.  People also enjoy live music in the courtyard. 

<B>Hours:</B> Monday-Friday: 4:00pm-2:00am, Satu","78701","289","2016","208 West 4Th Street
Austin, TX 78701
(30.266862, -97.744824)"
"Red Fez","9","yes","Bar/Club/Venue","Bar/Club/Venue","Live Music",," ","Music"," ","http://www.red-fez.com","This Warehouse District lounge is marked by distinctive Middle Eastern decor and a crowd of young revelers.

<b>Hours:</b> Tuesday-Saturday 8:00pm-2:00am, Sunday 9:00pm-2:00am","78701","331","2016","209-B West 5Th Street
Austin, TX 78701
(30.267253, -97.744689)"
"Pete's Dueling Piano Bar","9","yes","Bar/Club/Venue","Bar/Club/Venue","Live Music",," ","Music"," ","http://www.petesduelingpianobar.com/","Pete's Dueling Piano Bar offers great entertainment and atmosphere robust with the singing, laughing, clapping, and dancing of everyone having a delightful time.  Four talented pianists play two baby grand pianos, in two-person rotations on the hour and","78701","326","2016","421 East 6Th Street
Austin, TX 78701
(30.266742, -97.739187)"
"Jackalope","9","yes","Bar/Club/Venue","Bar/Club/Venue","Live Music",," ","Music"," ","http://www.jackalopeaustin.com","The Jackalope is Austin's most notorious old school dive bar"".  Velvet paintings, a huge padded bar, great drinks, a friendly staff, amazing food, and a widely diverse crowd are our trademarks.","78701","307","2016","406 East 6Th Street
Austin, TX 78701
(30.267305, -97.739148)"
"Shady Grove","5","yes","Restaurant","Restaurant","Live Music",," ","Music","Country, Folk/Acoustic","http://www.theshadygrove.com","Shady Grove reflects Austin's appreciation of the outdoors and entertainment. Reminiscent of long summer nights at the drive in, the restaurant's Starlight Theater features Hitchcock classics, old westerns, sci-fi flicks and beach movies. These great mov","78704","1299","2016","1624 Barton Springs Road
Austin, TX 78704
(30.262826, -97.762016)"
"Chicon Collective","3","yes","Artist Studios/ Workshops","Coworking"," ",," ","Multidisciplinary"," ","http://chicon.co/","he Chicon Collective is an open, experimental community in East Austin's old Third Street Bus Depot.","78702","601","2016","301 Chicon St
Austin, TX 78702
(30.25891, -97.723416)"
"Yancey's Antiques","6","yes","Gallery/ Museum","Gallery/ Museum"," ",," ","Visual Arts"," "," "," ","78729","1872","2014","9308 Anderson Mill Rd
Austin, TX 78729
(30.450767, -97.78489)"
"Crawshay Gallery","0","yes","Gallery/ Museum","Gallery/ Museum"," ",," ","Visual Arts"," "," "," ","78732","1993","2014","6550 Comanche Trl
Austin, TX 78732
(30.408535, -97.875184)"
"Maria's Taco Xpress","5","yes","Restaurant","Restaurant","Live Music",," ","Music"," ","http://tacoxpress.com/","Tex Mex Food/Full Bar/Live Music
","78704","1296","2016","2529 S Lamar
Austin,  78704
(30.245162, -97.779611)"
"Dance U2","7","yes","Artist Studios/ Workshops","Dance Studio"," ",," ","Dance"," Dance"," "," ","78756","2878","2014","2211 Lawnmont Ave
Austin, TX 78756
(30.327785, -97.741366)"
"Art On 5th Gallery","5","yes","Gallery/ Museum","Gallery/ Museum"," ",," ","Visual Arts"," ","www.arton5th.com","Contemporary art gallery including a permanent display of Dr. Seuss works, along with over 40 other artists.","78704","1020","2014","3005 S Lamar Blvd
Austin, TX 78704
(30.243219, -97.782789)"
"Mi Casa Tamales and Cantina","9","yes","Restaurant","Restaurant","Live Music",," ","Music"," ","http://www.tamalestore.com/","At Mi Casa we cater to our customers needs when it comes to providing the perfect private party on Austin's Historic 6th Street.","0","214","2016","503 E 6Th Street
Austin, TX 0
(30.266507, -97.738297)"
"AISD  Performing Arts Center - Black Box Theater","1","yes","Performance Venue","Theater",,," ","Theater Arts",,"https://pac.fineartsaustin.org/Online/","The Performing Arts Center is a state-of-the-art facility designed specifically to enhance the arts experience for each and every student and teacher in Austin ISD.","78723","3387","2016","1500 Barbara Jordan Blvd
Austin, TX 78723
(30.306657, -97.68314)"
"Gonzales Iron Works","4","yes","Artist Studios/ Workshops","Studio, Workshop"," ",," ","Craft/Design"," Craft"," "," ","78753","2762","2014","701 Victor St
Austin, TX 78753
(30.375034, -97.679184)"
"Hawaiian-Kona Isle","0","yes","Artist Studios/ Workshops","Dance Studio"," ",," ","Dance"," Dance"," "," ","78759","3173","2014","8301 Yaupon Dr
Austin, TX 78759
(30.427477, -97.781256)"
"Hyde Park Theatre","9","yes","Theater","Theater"," ",," ","Theater Arts"," ","http://www.hydeparktheatre.org/site/index.html","Hyde Park Theatre develops writers, designers, directors, and actors from within the Austin community, while at the same time producing works by exciting new and established voices of the alternative theatre scene. Goals include producing Southwest and w","78751","2679","2014","511 W 43rd St
Austin, TX 78751
(30.308032, -97.733737)"
"Spider House Ballroom","9","yes","Bar/Club/Venue","Bar/Club/Venue","Live Music",,"300","Music"," Theater","http://www.spiderhousecafe.com","Spider House is an eclectic coffee bar and vegetarian cafe, featuring beer, wine, sangria, smoothies, coffee drinks, and desserts. We have music Sunday through Saturday nights from 8-10:30 in a magical garden setting, which seats about 100 people. Come h","78705","1342","2014","2908 Fruth St
Austin, TX 78705
(30.295249, -97.742035)"
"Nasty's","9","yes","Bar/Club/Venue","Bar/Club/Venue","Live Music",,"100","Music","Dance/Electronic, Rap/Hip Hop"," ","Nasty's bar features one of the longest running Hip Hop dance parties in Austin, Hip Hop Monday's with DJ Mel, running continuously for more than 16 years.","78705","1341","2016","606 Maiden Lane
Austin, TX 78705
(30.301896, -97.739374)"
"Art & Frame Direct","7","yes","Gallery/ Museum","Gallery/ Museum"," ",," ","Visual Arts"," "," "," ","78759","3227","2014","9503 Research Blvd
Austin, TX 78759
(30.387809, -97.742953)"
"AISD  Performing Arts Center - Dance Studio","1","yes","Performance Venue","Dance Studio"," ",," ","Dance",,"https://pac.fineartsaustin.org/Online/","The Performing Arts Center is a state-of-the-art facility designed specifically to enhance the arts experience for each and every student and teacher in Austin ISD.","78723","3386","2016","1500 Barbara Jordan Blvd
Austin, TX 78723
(30.306657, -97.68314)"
"Four On The Floor","7","yes","Artist Studios/ Workshops","Dance Studio"," ",," ","Dance"," Dance"," "," ","78757","2955","2014","7802 Rutgers Ave
Austin, TX 78757
(30.351909, -97.726296)"
"Little Pink Monster Gallery","1","yes","Gallery/ Museum","Gallery/ Museum"," ",," ","Visual Arts"," ","littlepinkmonster.gallery","0","0","185","2016","1913 E 17th St
,  0
(30.277552, -97.720533)"
"Austin Art Garage","5","yes","Gallery/ Museum","Gallery/ Museum"," ",," ","Visual Arts"," ","http://www.austinartgarage.com","Many talented artists have been too long overlooked and are struggling  to sell their art. Austin Art Garage was created to bring these artists  into the spotlight and expose their talents. At AustinArtGarage.com  you can see all prices and varieties of","78704","1212","2014","2200 S Lamar Blvd
Austin, TX 78704
(30.247842, -97.772891)"
"Stinson's Bistro","10","yes","Restaurant","Restaurant","Live Music",," ","Music","Blues, Country, Rock","http://www.stinsonsbistro.com/","Stinson’s is a concept as old as time. A community stopping point, a gathering place, an old world cafe in the tradition of Gijon, Closerie des Lilas and Deux Magots, brought forward and remade for our times. We serve you morning noon and night as did","0","3367","2016","2401 Lake Austin Blvd.
Austin, TX 0
(30.277884, -97.772991)"
"Starlight Dance","7","yes","Artist Studios/ Workshops","Dance Studio"," ",," ","Dance"," Dance"," "," ","78753","2763","2014","1006 E Yager Ln
Austin, TX 78753
(30.391722, -97.660514)"
"Dance Repertory Theatre, Dept Of Theatre And Dance, University Of Texas At Austin","9","yes","Theater","Theater"," ",," ","Dance"," Dance","http://www.utexas.edu/finearts/tad/","Student company, blackbox theater, Lab Theatre, etc","78712","1488","2014","300 E 23Rd St
Austin, TX 78712
(30.285605, -97.733977)"
"Lambert's Downtown Barbecue","9","yes","Restaurant","Restaurant","Live Music",," ","Music","Jazz, Rock","http://www.lambertsaustin.com/","Lamberts Downtown Barbecue is located in the historic Schneider Brothers Building, in the heart of the 2nd Street District in downtown Austin. Lamberts' open kitchen serves up modern Texan cuisine: all natural barbecue, wood grilled steaks, fresh seafood","78701","541","2016","401 West Second Street
Austin, TX 78701
(30.265155, -97.747914)"
"Rhythm Studio","6","yes","Artist Studios/ Workshops","Dance Studio"," ",," ","Dance"," Dance"," "," ","78750","2569","2014","12129 Ranch Road 620 N
Austin, TX 78750
(30.460892, -97.819168)"
"Blue Ocean Gallery","9","yes","Gallery/ Museum","Gallery/ Museum"," ",," ","Craft/Design"," "," ","fine furniture and fine art gallery","78704","1033","2016","411 East St Elmo St
Austin, TX 78704
(30.215007, -97.762764)"
"Swiss Alp Dance Hall","0","yes","Bar/Club/Venue","Bar/Club/Venue","Live Music",,"600","Music","Country, Polka, Tejano","http://www.swissalptexas.com/","Recently reopened, The Swiss Alp Dance Hall books acts such as: Roger Creager, Bobby Flores, Billy Mata, Asleep at the Wheel, Kyle Park, Kevin Fowler, Cory Morrow, Aaron Watson, Stoney LaRue, Ram Herrera, etc. Currently music 3 nights a week. Hall can ac","0","3372","2016","1204 Lipan Trail
Austin, TX 0
(30.338611, -97.871229)"
"The Tillery Street Darkroom","3","yes","Artist Studios/ Workshops","Studio, Workshop"," ",," ","Photography"," ","tillerystreetdarkroom.tumblr.com","0","0","147","2016","1103 Tillery St
,  0
(30.264948, -97.702338)"
"Broken Spoke","5","yes","Bar/Club/Venue","Bar/Club/Venue","Live Music",,"620","Music","Country, Rockabilly, Western Swing","http://www.brokenspokeaustintx.com","The Broken Spoke is Texas's most definitive dance hall.  It has a musical history that dates back to Bob Wills and The Texas Playboys. The Broken Spoke has a variety of food, mixed drinks, wine and beer. Bands are encouraged to bring their own PA system.","78704","1086","2016","3201 South Lamar Boulevard
Austin, TX 78704
(30.242428, -97.78352)"
"Jester King Brewery","0","yes","Restaurant","Restaurant","Live Music",," ","Music"," ","http://jesterkingbrewery.com/","Jester King is an authentic farmhouse brewery committed to making artisan ales of great depth and character. Like the small, farmhouse breweries that inspired us, we seek to embrace nature and local terroir in our brewing, giving our beers a true sense o","78736","2098","2016","13005 Fitzhugh Road
Austin, TX 78736
(30.231259, -97.99858)"
"Kathy Womack Gallery","9","yes","Gallery/ Museum","Gallery/ Museum"," ",," ","Visual Arts"," "," "," ","78701","424","2014","411 Brazos St
Austin, TX 78701
(30.265875, -97.741807)"
"Dillingerilla Studios","3","yes","Artist Studios/ Workshops","Film Studio"," ",," ","Film/TV/Media"," "," ","TV Studios for filming shows. The Studio that Tom Booker often uses for his Commercial Audition Workshops","78704","1070","2016","3708 Woodbury Drive
Austin, TX 78704
(30.225688, -97.75985)"
"Sherlock's Baker Street Pub - Austin","7","yes","Bar/Club/Venue","Bar/Club/Venue","Live Music",,"400","Music","Cover/Tribute, Rock","http://www.sherlockspub.com","Sherlock's Baker Street Pub, Baker Street Pub and Grill and Watson's Ale House have sixteen locations across Texas and growing. We offer live music seven nights a week from 4pm-2am. Some of our largest drawing acts are Rat Ranch, Velcro Pygmies, The Max","78758","3085","2016","9012 Research Blvd.
Austin, TX 78758
(30.371446, -97.724509)"
"Opal Divine's Penn Field","3","yes","Bar/Club/Venue","Bar/Club/Venue","Live Music",," ","Music"," Music"," "," ","78704","1095","2014","3601 S Congress
Austin, TX 78704
(30.227749, -97.760657)"
"City Theatre","1","yes","Theater","Theater"," ",," ","Theater Arts"," ","www.citytheatreaustin.org","The City Theatre Company  is a performing arts organization whose  purpose is to enlighten, enhance, and enrich the Austin community by providing superior theatrical experiences unsurpassed in the area and beyond.  They are committed to developing local","78722","1659","2016","3823 Airport Boulevard
Austin, TX 78722
(30.288556, -97.706736)"
