"name_common","assettype","assetnote","discipline","discipline_note","live_music","event_venue","coa_facili","web_notes","website","zip","councildistrict","date_updat","map_list","source","location_1"
"Biophiliac Productions","Organization","Theater Company","Theater Arts"," "," "," "," ","BIOPHILIAC PRODUCTIONS is a new multimedia production company focused on integrating various art forms into theatrical performance.  Many of the company members recently relocated to Austin, TX to continue their tradition of producing bold new visions th","www.biophiliacproductions.com","78745","5","2016","map","NPA_org","4810 Lansing
Austin, TX 
(30.222157, -97.791933)"
"Blizzard Entertainment","Business","Service & Support Business","Technology"," CAD"," "," "," "," "," ","78717","6","2014","map","SIAP","9825 Spectrum Dr
Austin, TX 
(30.480626, -97.771456)"
"American Guild Of Organists","Organization","Historical Societies & Historic Preservation","Music"," Music"," "," "," "," "," ","78730","6","2014","map","SIAP","9529 Big View Dr
Austin, TX 
(30.361971, -97.856972)"
"Link Coworking","Creative Workspace","Coworking","Multidisciplinary"," "," "," "," ","ink offers open plan coworking, small meeting room spaces, conference room rentals, two options for office space, dedicated desk space and event space.","http://www.linkcoworking.com/","78757","7","2016","map","Srempe","2700 WEST ANDERSON LANE
Austin, TX 
(30.359103, -97.734321)"
"Mindzai Creative","Business","Graphic Design Services","Graphic Design, Printmaking"," "," "," "," "," ","mindzai.net","78704","5","2016","map","WEST_16","2001 S Lamar Blvd
Austin, TX 
(30.249184, -97.767192)"
"John Jefferson Photography","Business","Photographer/ Photo Studio","Photography"," Photo"," "," "," "," "," ","78750","6","2014","map","SIAP","10433 Firethorn Ln
Austin, TX 
(30.454098, -97.800709)"
"Entrepreneur Center of Austin","Event Venue","Event Venue","Multidisciplinary"," "," ","Event Venue"," ","The City of Austin Entrepreneur Center is a local, government owned resource dedicated to providing business a low cost solution to meeting space needs. We operate as a part of the City of Austin's Economic Growth and Redevelopment Services Office, servi"," ","78704","5","2016","map","NPA_ven","4029 S Capital Of Texas Hwy
Austin, TX 
(30.241187, -97.800091)"
"Theatrikids","Organization","Theater Company","Theater Arts"," "," "," "," ","New fun and creative kids acting classes to children in Austin, Round Rock and Cedar Park! After school classes and summer camps for young actors ages 3-18.","http://theatrikids.com","78727","6","2016","map","NPA_org","12907 Quinn Trail
Austin, TX 
(30.436928, -97.74085)"
"Fellowship Southwest Baptist","House of Worship","House of Worship","Other"," "," "," "," "," "," ","78704","5","2016","map","D5 Meeting","7415 Manchaca Rd
Austin, TX 
(30.19703, -97.80915)"
"Davis Mc Larty Agency","Business","Service & Support Business","Music"," Music"," "," "," "," "," ","78704","5","2018","map","Brownk","708 S Lamar Blvd
Austin, TX 
(30.258052, -97.75979)"
"Cutting Corners","Business","Fabric Shops","Textile/Apparel"," Textile/Apparel"," "," "," "," "," ","78757","7","2014","map","SIAP","7719 Burnet Rd
Austin, TX 
(30.3537, -97.732001)"
"Photography Shoppe","Business","Photographer/ Photo Studio","Photography"," Photo"," "," "," "," "," ","78757","7","2014","map","SIAP","8711 Burnet Rd
Austin, TX 
(30.369369, -97.726998)"
"Starveling Productions","Business","Production Company","Film/TV/Media"," "," "," "," ","Independent film production company
","https://www.facebook.com/StarvelingProductions","78745","5","2016","map","NPA_org","7101 B Treasure Cove
Austin, TX 
(30.19807, -97.800235)"
"Verge Dance Company","Organization","Dance Company","Dance"," "," "," "," ","Dance Company","http://www.alisasdanceacademy.com","78746","8","2016","map","NPA_org","3267 Bee Caves Rd
Austin, TX 
(30.274338, -97.800824)"
"Steve Armstrong Photography","Business","Photographer/ Photo Studio","Photography"," Photo"," "," "," "," "," ","78749","8","2014","map","SIAP","3801 Robert Burns Dr
Austin, TX 
(30.216159, -97.834804)"
"Cinemark Southpark Meadows","Movie Theater","Movie Theater","Film/TV/Media"," Film/TV"," "," "," "," "," ","78748","5","2014","map","SIAP","9900 S Interstate 35
Austin, TX 
(30.168174, -97.822906)"
"Cap City Comedy Club","Theater","Cabaret","Comedy"," Comedy"," "," "," ","The Cap City Comedy Club is a venue with many events ranging from comedy to musical performances.","http://www.capcitycomedy.com/","78758","7","2016","map","NPA_ven","8120 Research Boulevard
Austin, TX 
(30.353871, -97.715231)"
"Texas Folklife","Organization","Historical Societies & Historic Preservation","Multidisciplinary"," "," "," "," ","Texas Folklife is celebrating its 30th anniversary this year as a statewide folk & traditional arts non-profit organization, dedicated to preserving and presenting the diverse cultures and living heritage of The Lone Star State. Texas Folklife produces p","http://www.texasfolklife.org","78756","7","2016","map","NPA_org","1708 Houston Street
Austin, TX 
(30.328392, -97.73801)"
"Jo-Ann Fabrics & Crafts","Business","Fabric Shops","Textile/Apparel"," Textile/Apparel"," "," "," "," "," ","78759","7","2014","map","SIAP","10515 N Mopac Expy
Austin, TX 
(30.393049, -97.732433)"
"Lacey Enterprises","Business","Video Production","Film/TV/Media"," A/V"," "," "," "," "," ","78727","7","2014","map","SIAP","12123 Arrowwood Dr
Austin, TX 
(30.419493, -97.726792)"
"Launchpad Studio","Business","Recording Studio","Music"," "," "," "," "," "," ","78759","7","2016","map","Srempe","8711 Burnet Road
Austin, TX 
(30.369305, -97.726729)"
"Rhytons by Cliff Garten","Public Art","Art in Public Places Commission","Visual Arts"," "," "," ","COA","Established by the City in 1985, the Art in Public Places (AIPP) program collaborates with local & nationally-known artists to include the history and values of our community into cultural landmarks that have become cornerstones of Austin’s identity.","http://www.austintexas.gov/department/art-in-public-places","78704","5","2016","map","AIPP","1510 Toomey Rd
Austin, TX 
(30.263985, -97.75885)"
"Pollyanna Theatre Company","Organization","Theater Company","Theater Arts"," Theater"," "," "," "," "," ","78703","8","2014","map","SIAP","7031 E Us Hwy 290
Austin, TX 
(30.233229, -97.874738)"
"Nielsen & Bainbridge Llc","Business","Service & Support Business","Visual Arts"," Visual Arts"," "," "," "," "," ","78727","6","2014","map","SIAP","12201 Technology Blvd
Austin, TX 
(30.431926, -97.760501)"
"Gina Chavez Music","Business","Supplier, Retail","Visual Arts"," Music"," "," "," "," "," ","78757","7","2014","map","SIAP","7306 Greenhaven Dr
Austin, TX 
(30.351543, -97.740661)"
"Alamo Drafthouse Cinema (Mueller)","Movie Theater","Movie Theater","Film/TV/Media","Film/TV"," "," "," "," "," ","78723","9","2018","map","Brownk","1911 Aldrich Street
Austin, TX 
(30.298847, -97.70425)"
"Shady Grove","Restaurant","Restaurant","Music","Country, Folk/Acoustic","Live Music"," "," ","Shady Grove reflects Austin's appreciation of the outdoors and entertainment. Reminiscent of long summer nights at the drive in, the restaurant's Starlight Theater features Hitchcock classics, old westerns, sci-fi flicks and beach movies. These great mov","http://www.theshadygrove.com","78704","5","2016","map","TMO_16","1624 Barton Springs Road
Austin, TX 
(30.262826, -97.762016)"
"Furlan Photography Inc","Business","Photographer/ Photo Studio","Photography"," Photo"," "," "," "," "," ","78726","6","2014","map","SIAP","10325 Chestnut Ridge Rd
Austin, TX 
(30.433311, -97.819535)"
"Half Price Books","Business","Bookstore, Book Dealers","Literary Arts"," Literature"," "," "," "," "," ","78750","6","2014","map","SIAP","13492 N Highway 183
Austin, TX 
(30.444515, -97.787938)"
"Covenant Presbyterian Church","House of Worship","House of Worship","Other"," House of Worship"," "," "," "," "," ","78757","7","2014","map","SIAP","3003 Northland Drive
Austin, TX 
(30.33452, -97.753169)"
"Shenanigans Nightclub","Bar/Club/Venue","Bar/Club/Venue","Music","Rock","Live Music"," "," ","Shenanigans Nightclub features live music on Friday nights with no cover charge and a capacity of 299.  Past performers include Malford Milligan, Guy Forsyth, Elliot Fikes Band, and David Latimer.  We have darts, billiards, NTN, shuffleboard, great food,","http://www.shenanigansnightclub.com/","78729","6","2016","map","TMO_16","13233 Pond Springs Road
Austin, TX 
(30.446539, -97.779164)"
"Piicx Photography","Business","Photographer/ Photo Studio","Photography"," Photo"," "," "," "," "," ","78758","7","2014","map","SIAP","11900 Metric Blvd
Austin, TX 
(30.399258, -97.704296)"
"Media Awareness Production Project","Organization","Community Development & Charitable Giving","Film/TV/Media"," Media"," "," "," ","Youth-powered media for social change/by film professionals","http://www.mediaawarenessproject.org","78749","8","2014","map","SIAP","5806 Charles Schreiner Trl
Austin, TX 
(30.225374, -97.862654)"
"Bodhi Seed Prayer Beads","Business","Supplier, Retail","Textile/Apparel"," Textile/Apparel"," "," "," "," "," ","78757","7","2014","map","SIAP","8711 Burnet Rd
Austin, TX 
(30.369369, -97.726998)"
"Austin Sister Cities International","Organization","Societies, Alliances, Professional Associations","Music"," "," "," "," ","The Beautiful City of Austin, Texas has been actively involved in International Sister Cities for over forty years. The Music Capital of the World, Austin is a leading city in commerce, education, and international tourism. Our Sister Cities committees c","http://austinsistercities.weebly.com/index.html","78704","5","2016","map","NPA_org","2302 Ridgeview
Austin, TX 
(30.255895, -97.776339)"
"Jolly-Ville Plateau Salamander by Jules Jones","Public Art","Art in Public Places Commission","Visual Arts"," "," "," ","COA","Established by the City in 1985, the Art in Public Places (AIPP) program collaborates with local & nationally-known artists to include the history and values of our community into cultural landmarks that have become cornerstones of Austin’s identity.","http://www.austintexas.gov/department/art-in-public-places","78730","6","2016","map","AIPP","7001-7115 Ranch Rd 620 N
Austin, TX 
(30.404217, -97.853705)"
"Cattails and Coneflower by Claudia Goldman","Public Art","Art in Public Places Donation","Visual Arts"," "," "," ","COA","Established by the City in 1985, the Art in Public Places (AIPP) program collaborates with local & nationally-known artists to include the history and values of our community into cultural landmarks that have become cornerstones of Austin’s identity.","http://www.austintexas.gov/department/art-in-public-places","78746","8","2016","map","AIPP","2217 Stratford Dr
Austin, TX 
(30.268708, -97.771528)"
"Jackalope","Bar/Club/Venue","Bar/Club/Venue","Music"," ","Live Music"," "," ","The Jackalope is Austin's most notorious old school dive bar"".  Velvet paintings, a huge padded bar, great drinks, a friendly staff, amazing food, and a widely diverse crowd are our trademarks.","http://www.jackalopeaustin.com","78701","9","2016","map","NPA_ven","406 East 6Th Street
Austin, TX 
(30.267305, -97.739148)"
"Dub King Transfer","Business","Video Production","Film/TV/Media"," Music"," "," "," "," "," ","78757","7","2014","map","SIAP","2105 Justin Ln
Austin, TX 
(30.344063, -97.735174)"
"Music Lab Rehearsal-Recording","Business","Recording Studio","Music"," "," "," "," "," "," ","78704","9","2016","map","Srempe","1306 W Oltorf
Austin, TX 
(30.24617, -97.768303)"
"Danny G. McBeth Recreation Center, City Of Austin, Parks & Recreation","Recreation/Community Center","Recreation/ Community Center","Other"," "," "," ","COA","Danny G. McBeth Recreation Center is located in Zilker Park. The center was named after Danny G. McBeth who was active in advocating for rights and services for the disabled community. In operation since February 1986, the McBeth Recreation Center provid","http://www.ci.austin.tx.us/parks/mcbeth.htm","78746","8","2016","map","NPA_ven","2401-A Columbus Dr
Austin, TX 
(30.266784, -97.777218)"
