"asset_name","asset_type","asset_notes","live_music","event_venu","discipline","web_notes","website","council_district","coa_facility","mapkey","date_updat","map_list","source","location_1"
"Ross' Cafe","Restaurant","Restaurant"," "," ","Culinary Arts"," ","http://www.rossoldaustincafe.com/","7"," ","7034","2016","addrs","D3 Meeting","11800 N Lamar Blvd
Austin, TX 78753
(30.38842, -97.684693)"
"Ross' Old Austin Cafe","Restaurant","Restaurant","Live Music"," ","Music","Ross', located at 11800 North Lamar Blvd., presents live music every night, usually singer/songwriters presenting their original music, with an occasional cover band. Tuesday and Thursday night are combination open mic and songwriter's showcases. Ross' b"," ","6"," ","6045","2016","xy","TMO_16","12108 Bell Avenue
Austin, TX 78727
(30.427377, -97.750504)"
"Roto Design","Business","Graphic Design Services"," "," ","Graphic Design, Printmaking"," "," ","3"," ","3132","2014","xy","SIAP","902 E 5Th St
Austin, TX 78702
(30.264764, -97.733829)"
"Round About Players","Organization","Theater Company"," "," ","Theater Arts","Student Theatre Organization within the University of Texas' Department of Theatre and Dance","roundaboutplayers.webs.com","0"," ","106","2016","list","NPA_org","
Austin, TX 0
(0.0, 0.0)"
"Round Rock Amphitheater","Theater","Amphitheater"," "," ","Theater Arts","The Round Rock Amphitheater hosts the free Round Rock Summer Concert Series and is located behind the Baca Center in Round Rock."," ","0"," ","122","2016","xy","NPA_ven","301 West Bagdad
Austin, TX 0
(30.506765, -97.680506)"
"Round Rock ISD Performing Arts Center","Theater","Auditorium"," "," ","Theater Arts","The Round Rock ISD Performing Arts Center is a venue for musical and theatrical performances and other special events for Round Rock School and the surrounding community.","http://rrisdpac.org","6"," ","6069","2016","xy","NPA_ven","5800 Mcneil Road
Austin, TX 78729
(30.448984, -97.727032)"
"Ruta Maya","Restaurant","Restaurant"," "," ","Culinary Arts"," ","http://rutamaya.net/","3"," ","3224","2016","addrs","D1 Meeting","3601 S Congress
Austin, TX 78704
(30.227749, -97.760657)"
"Rowing Shell by Jill Bedgood","Public Art","Art in Public Places Donation"," "," ","Visual Arts","Established by the City in 1985, the Art in Public Places (AIPP) program collaborates with local & nationally-known artists to include the history and values of our community into cultural landmarks that have become cornerstones of Austin’s identity.","http://www.austintexas.gov/department/art-in-public-places","9","COA","9772","2016","xy","AIPP","Ann and Roy Butler Hike and Bike Trail
Austin, TX 78701
(30.260519, -97.741729)"
"Roy Lozano Ballet Folklorico De Texas","Creative Workspace","Dance Studio"," "," ","Dance","Roy Lozano's award winning Ballet Folklorico de Texas has a highly versatile repertoire containing traditional, authentic dance styles as well as modern interpretation of present-day Mexican folk themes. A much beloved group.
This project is funded and s","http://www.rlbft.org","1"," ","1188","2014","xy","SIAP","1928 Gaston Place Dr
Austin, TX 78723
(30.312591, -97.688081)"
"Royal Tees Screen Printing","Business","Screen Printing"," "," ","Graphic Design, Printmaking"," "," ","9"," ","9607","2014","xy","SIAP","5000 N Lamar Blvd
Austin, TX 78751
(30.317936, -97.731707)"
"RoyaltiesATX","Business","Recording Studio"," "," ","Music"," "," ","3"," ","3388","2016","xy","Srempe","501 Pedernales St
Austin, TX 78702
(30.258257, -97.714316)"
"Rpm Medical Technologies","Business","Service & Support Business"," "," ","Film/TV/Media"," "," ","4"," ","4062","2014","xy","SIAP","223 W Anderson Ln
Austin, TX 78752
(30.344321, -97.707089)"
"Rsd Advertising Design Inc","Business","Graphic Design Services"," "," ","Graphic Design, Printmaking"," "," ","7"," ","7235","2014","xy","SIAP","2600 Mchale Ct
Austin, TX 78758
(30.385453, -97.722683)"
"Rubber Repertory","Organization","Theater Company"," "," ","Theater Arts","The Rubber Repertory is maintained by Josh Meyer and Matt Hislope.  Their first show was on September 9, 2000 in Lawrence, Kansas.  We moved to Austin, Texas in 2001 and 2002.  More often than not, they like to blur the boundaries between art and life, h","http://www.rubberrep.org","0"," ","107","2016","list","NPA_org","
Austin, TX 0
(0.0, 0.0)"
"Rubio's Event Center","Event Venue","Event Venue"," ","Event Venue","Multidisciplinary","Rubio's Event Center is the perfect place to host your special occasion. Our full service facilities and knowledgeable staff will assist in the planning and execution of your event. Our event centers provide the perfect ambiance to make your wedding, par","www.rubioseventcenter.com","0"," ","121","2016","xy","NPA_ven","10712 Fm 1625
Austin, Tx 0
(30.110524, -97.722064)"
"Ruby Joule & Diamond Burlesque Productions","Organization","Theater Company"," "," ","Theater Arts","Ruby Joule & Diamond Burlesque Productions have been presenting large-scale burlesque shows featuring internationally-acclaimed talent in Dallas, Texas since 2009 (as La Divina Productions). The production company has extended to the stages of Hot Spring","http://www.RubyJouleBurlesque.com","10"," ","10004","2016","xy","NPA_org","3605 Steck Avenue
Austin, TX 78701
(30.368875, -97.745971)"
"RubyRico Productions","Organization","Theater Company"," "," ","Theater Arts","RubyRico Peepshows: Performances with Depravity and Style. A partnership that presents live music, dance, puppetry, and other live artistry in Austin, Texas.","http://www.brokenclockcabaret.com","9"," ","9571","2016","xy","NPA_org","2907 Lafayette Avenue
Austin, TX 78722
(30.285854, -97.720555)"
"Rude Mechanicals-A Theatre Collective aka Rude Mechs","Organization","Theater Company"," "," ","Theater Arts","Since 1995, Rude Mechs has created a mercurial slate of original theatrical productions that represent a genre-defying cocktail of big ideas, cheap laughs, and dizzying spectacle. What these works hold in common are the use of play to make performance, t","http://rudemechs.com","3"," ","3197","2014","xy","SIAP","2211A Hidalgo St
Austin, TX 78702
(30.260901, -97.718188)"
"Ruiz Branch, Austin Public Library","Library","Library"," "," ","Literary Arts"," ","http://library.austintexas.gov/","3","COA","3302","2014","addrs","SIAP","1600 Grove Blvd
Austin, TX 78741
(30.230165, -97.706353)"
"Rural Rooster","Business","Graphic Design Services"," "," ","Graphic Design, Printmaking"," ","ruralrooster.com","3"," ","3024","2016","xy","EAST_16","2602 E Cesar Chavez St
,  0
(30.254145, -97.715224)"
"Russell Collection Fine Art Gallery","Gallery/ Museum","Gallery/ Museum"," "," ","Visual Arts","The Russell Collection is a World Class gallery filled with museum quality art. They set out to offer something different to the serious art collector in central Texas. 

The current collection includes the works of Rembrandt, Mary Cassatt, Marc Chagall,","http://www.russell-collection.com","9"," ","9321","2014","xy","SIAP","1137 W 6Th St
Austin, TX 78703
(30.272404, -97.756957)"
"Russell Framing","Business","Service & Support Business"," "," ","Visual Arts"," "," ","0"," ","177","2014","addrs","SIAP","16746 Fitzhugh Rd
Austin, TX 78704
(30.249796, -98.055366)"
"Russian Speakers Society Of Austin","Organization","Culture & Language Education"," "," ","Other","The Society was created for Austinites and visitors of Austin who come from the former Soviet Union as well as for anybody who has interest in this area of the world.
This project is funded and supported in part by a grant from the Texas Commission on th","http://rusaustin.com","9"," ","9433","2014","xy","SIAP","518 Academy Dr
Austin, TX 78704
(30.251692, -97.742485)"
"Rusty's Dancehall and Lounge","Restaurant","Restaurant","Live Music"," ","Music","COUNTRY DANCE HALL & SALOON!","http://www.therustyspurs.com","9"," ","9257","2016","xy","NPA_ven","404 East Seventh Street
Austin, TX 78701
(30.268086, -97.738897)"
"Ruta Maya Café at Austin Bergstrom International Airport","Restaurant","Airport Venue","Live Music"," ","Music","Ruta Maya is a coffee and sandwich shop that features live music performances on Thursday and Friday of each week from 11:00 a.m. to 1:00 p.m.","http://www.austintexas.gov/department/music-air-0","2"," ","2004","2016","addrs","TMO_16","3600 Presidential Blvd
Austin, TX 78719
(30.209385, -97.669657)"
"Ryan Hutson Photography","Business","Photographer/ Photo Studio"," "," ","Photography"," "," ","10"," ","10190","2014","xy","SIAP","7103 Danwood Dr
Austin, TX 78759
(30.423721, -97.768674)"
"Ryan Mckerley","Creative Workspace","Individual Studio, Workshop"," "," ","Craft/Design"," "," ","3"," ","3077","2014","xy","SIAP","2710 E Cesar Chavez St
Austin, TX 78702
(30.253643, -97.713859)"
"S C S Produtions Inc","Business","Video Production"," "," ","Film/TV/Media"," "," ","3"," ","3133","2014","xy","SIAP","908 E 5Th St
Austin, TX 78702
(30.264744, -97.733769)"
"S K Photography","Business","Photographer/ Photo Studio"," "," ","Photography"," "," ","4"," ","4063","2014","xy","SIAP","211 W Saint Johns Ave
Austin, TX 78752
(30.336048, -97.711479)"
"Sacred Arts Studio & Gallery","Gallery/ Museum","Gallery/ Museum"," "," ","Visual Arts"," "," ","8"," ","8138","2014","xy","SIAP","6001 W William Cannon Dr
Austin, TX 78749
(30.22805, -97.862045)"
"Safe by Nan Standish Blake","Public Art","Art in Public Places Commission"," "," ","Visual Arts","Established by the City in 1985, the Art in Public Places (AIPP) program collaborates with local & nationally-known artists to include the history and values of our community into cultural landmarks that have become cornerstones of Austin’s identity.","http://www.austintexas.gov/department/art-in-public-places","3","COA","3439","2016","xy","AIPP","7201 Levander Loop
Austin, TX 78702
(30.252403, -97.68968)"
"Sage Brush Productions","Business","Video Production"," "," ","Film/TV/Media"," "," ","3"," ","3252","2014","xy","SIAP","2607 Oak Crest Ave
Austin, TX 78704
(30.240169, -97.763522)"
"Sagrada Familia Studios","Business","Service & Support Business"," "," ","Theater Arts"," "," ","9"," ","9133","2014","xy","SIAP","1304 Guadalupe St
Austin, TX 78701
(30.276164, -97.743984)"
"Sahara Lounge","Bar/Club/Venue","Bar/Club/Venue","Live Music"," ","Music","Sahara Lounge is an inviting Eastside Austin live music venue with a relaxed, eclectic atmosphere. Live shows include Indie, African, Blues, Rock, Country, Swing, Brazilian, Funk and everything in between. Formerly the historic TC's Lounge, the building","http://www.saharalounge.com/location.php","1"," ","1150","2016","xy","NPA_ven","1413 Webberville Road
Austin, TX 78721
(30.279535, -97.680987)"
"Saint Albert the Great Catholic Church","House of Worship","House of Worship","Live Music"," ","Other","Saint Alber the Great Catholic Church is a venue for community events like music and theater.","http://www.saintalbert.org/","4"," ","4137","2016","xy","NPA_ven","14041 Bittern Hollow
Austin, TX 78758
(30.378845, -97.711093)"
"Saint Cecilia Music Series","Event/ Festival","Event/ Festival","Live Music"," ","Music","The most beautiful music you’ve never heard. This is the essence of the St. Cecilia Music Series. SCMS aims to fill in the blanks between Buxtehude and Bach. Between Dufay and Dandrieu. Between Monteverdi and Marcello. After a single performance from S","http://www.scmsaustin.org/","10"," ","10077","2016","xy","TMO_16","8001 Mesa Drive
Austin, TX 78731
(30.369415, -97.757419)"
"Saint James Episcopal Church","House of Worship","House of Worship"," "," ","Other"," "," ","1"," ","1148","2014","addrs","SIAP","1941 Webberville Rd
Austin, TX 78721
(30.283396, -97.673171)"
"Salinas Event Center","Event Venue","Event Venue"," ","Event Venue","Music","Our beautiful indoor 4,200 square feet event center is perfect for your special event. Indoor amenities include a stage, sound system, kitchen area and bar, and upscale men's and ladies restrooms. A private room equipped with flat screen TV, cable and lu"," ","1"," ","1010","2016","xy","TMO_16","1900 East Howard Lane
Austin, TX 78660
(30.401784, -97.633392)"
"Salon Concerts Inc","Event/ Festival","House Concerts","Live Music"," ","Music"," "," ","0"," ","250","2014","list","SIAP","5950 Highland Hills Dr
Austin, TX 78716
(0.0, 0.0)"
"Salsa Austin","Creative Workspace","Dance Studio"," "," ","Dance"," "," ","10"," ","10165","2014","xy","SIAP","11903 Doubloon Cv
Austin, TX 78759
(30.426368, -97.759333)"
"Salvage Vanguard Theater","Organization","Theater Company"," "," ","Theater Arts"," "," ","1"," ","1179","2014","xy","SIAP","2803 E Manor Rd
Austin, TX 78722
(30.285127, -97.712041)"
"Sam Sims Photography","Business","Photographer/ Photo Studio"," "," ","Photography"," "," ","8"," ","8085","2014","xy","SIAP","1901 Plumbrook Dr
Austin, TX 78746
(30.27676, -97.831432)"
"Samba Soul Band","Organization","Band, Musical Group, Ensemble"," "," ","Music","We are a dynamic group of musicians bringing the best of Brazilian Samba and Pagode music to the Houston community. Our band is comprised of the following members:  -Claudia Lima (vocal) -João Poupard (vocal and guitar) -Augusto Gaioso (percussion","http://www.samba-soul.com","0"," ","124","2016","list","NPA_org","
, TX 77079
(0.0, 0.0)"
"Same Sky Productions Inc","Business","Recording Studio"," "," ","Multidisciplinary"," "," ","5"," ","5066","2014","xy","SIAP","803 Josephine St
Austin, TX 78704
(30.257903, -97.760958)"
"Sam's BBQ","Restaurant","Restaurant"," "," ","Culinary Arts"," "," ","1"," ","1052","2016","addrs","D1 Meeting","200 E 12th St
Austin, TX 78702
(30.274187, -97.739459)"
"Sam's Boat | Austin","Restaurant","Restaurant","Live Music"," ","Music","Sam's Boat is a restaurant and bar featuring live music in the form of rock/pop bands at least five days a week. We also utilize disc jockeys who play mostly an up tempo dance oriented music program. Our cuisine features Cajun, Creole, Southwestern and M","http://www.samsboat.com/","7"," ","7277","2016","xy","TMO_16","10931 Stonelake Blvd
Austin, TX 78759
(30.398072, -97.733187)"
"Sam's Town Point","Bar/Club/Venue","Bar/Club/Venue","Live Music"," ","Music","Friends Are the Best Part of Life. Sam's Town Point covers the full spectrum of music. This is a bar and restaurant where the music is whether rock, country, honky-tonk or the blues, but is is one thing that unites all the music in its quality. Sam's i"," ","5"," ","5186","2016","xy","TMO_16","2115 Allred Drive
Austin, TX 78748
(30.172136, -97.8276)"
"San Gabriel Writers League","Organization","Societies, Alliances, Professional Associations"," "," ","Literary Arts"," "," ","6"," ","6080","2014","xy","SIAP","1022 Merlene Dr
Austin, TX 78732
(30.333196, -97.921703)"
"San Jose Church","House of Worship","House of Worship"," "," ","Other","Jamaica(Church festival)","www.sanjosechurch.org","3"," ","3223","2016","addrs","D1 Meeting","2435 Oak Crest Ave
Austin, TX 78704
(30.242879, -97.762223)"
"Sanchez Discoteca","Business","Service & Support Business"," "," ","Music"," "," ","3"," ","3318","2014","xy","SIAP","1500 S Pleasant Valley Rd
Austin, TX 78741
(30.238401, -97.720169)"
"Sanchez Saul Film Service","Business","Video Production"," "," ","Film/TV/Media"," "," ","8"," ","8131","2014","xy","SIAP","3708 Hobbs Cv
Austin, TX 78749
(30.201778, -97.841578)"
"Sanctuary of the Tribal Alligator by T. Paul Hernandez","Public Art","Art in Public Places Commission"," "," ","Visual Arts","Established by the City in 1985, the Art in Public Places (AIPP) program collaborates with local & nationally-known artists to include the history and values of our community into cultural landmarks that have become cornerstones of Austin’s identity.","http://www.austintexas.gov/department/art-in-public-places","10","COA","10248","2016","xy","AIPP","8400-8610 Robbie Dr
Austin, TX 78759
(30.376447, -97.74857)"
"Sanctuary Print Shop","Business","Commercial Printing"," "," ","Graphic Design, Printmaking"," "," ","3"," ","3358","2014","xy","SIAP","4201 S Congress Ave
Austin, TX 78745
(30.220308, -97.764107)"
"Sandcastles by Martha McAshan Guerin","Public Art","Art in Public Places Donation"," "," ","Visual Arts","Established by the City in 1985, the Art in Public Places (AIPP) program collaborates with local & nationally-known artists to include the history and values of our community into cultural landmarks that have become cornerstones of Austin’s identity.","http://www.austintexas.gov/department/art-in-public-places","1","COA","1316","2016","xy","AIPP","1305 Red River St
Austin, TX 78701
(30.274383, -97.733948)"
"Sangeet Millennium","Organization","Band, Musical Group, Ensemble"," "," ","Multidisciplinary","This organization seeks to create and inhabit spaces where the performing and visual arts, knowledge, and human rights weave together as narrative threads of the same story.","http://www.sangeetmillennium.org","5"," ","5167","2016","xy","NPA_org","2203 Southern Oaks
Austin, TX 78745
(30.219802, -97.798068)"
"Santa Cruz Center for Culture","Theater","Auditorium"," "," ","Theater Arts","Santa Cruz Center for Culture located in Central Austin hosts numerous performing arts events produced by various organizations within the community.","www.aztlandance.com","3"," ","3219","2016","xy","NPA_ven","1805 East 7Th Street
Austin, TX 78702
(30.262635, -97.723189)"
