state,incl_lineitems_percapita,incl_lineitems_rank,excl_lineitems_percapita,excl_lineitems_rank,total_state_funds_percapita,total_state_funds_rank,total_agency_revenue_percapita,total_agency_revenue_rank
Alabama,1.64,22,1.37,20,1.68,23,1.89,26
Alaska,1.34,24,1.34,21,1.39,26,3.78,12
Arizona,0.26,47,0.26,46,0.41,45,0.6,47
Arkansas,0.42,44,0.42,42,0.42,44,0.77,40
California,0.88,30,0.88,28,0.88,32,0.92,37
Colorado,0.59,38,0.59,34,0.59,39,0.78,39
Connecticut,2.5,12,0.41,43,2.83,12,3.14,15
Delaware,6.12,3,6.12,3,6.17,4,7.27,4
Florida,1.71,19,0.91,27,1.71,22,1.77,27
Georgia,0.14,49,0.14,49,0.14,50,0.24,50
Hawai'i,13.14,1,6.57,2,13.14,1,13.84,1
Idaho,0.47,42,0.47,39,0.47,42,0.98,35
Illinois,1.99,17,1.68,16,1.99,20,2.09,25
Indiana,0.47,41,0.47,38,0.51,41,0.67,43
Iowa,0.68,36,0.45,41,0.68,37,0.97,36
Kansas,0.34,46,0.34,45,0.38,47,0.7,41
Kentucky,0.39,45,0.39,44,0.39,46,0.63,46
Louisiana,0.45,43,0.45,40,0.45,43,0.68,42
Maine,0.85,33,0.85,31,0.85,34,1.59,29
Maryland,5.42,4,5.38,4,5.42,5,5.59,5
Massachusetts,3.78,6,3.65,6,4.5,6,4.73,7
Michigan,1.12,27,1.08,24,1.12,28,1.23,31
Minnesota,7.85,2,7.85,1,7.85,2,8.04,3
Mississippi,3.36,9,3.36,8,3.36,11,3.76,13
Missouri,2.73,10,1.62,18,2.73,13,2.89,17
Montana,1.22,26,1.22,23,1.24,27,2.31,24
Nebraska,1.33,25,1.33,22,1.83,21,2.79,19
Nevada,0.86,31,0.86,29,0.88,33,1.21,32
New Hampshire,0.12,50,0.12,50,0.18,49,0.54,48
New Jersey,3.73,7,3.41,7,3.73,8,3.87,10
New Mexico,0.8,35,0.8,33,0.82,35,1.28,30
New York,4.14,5,4.09,5,4.14,7,4.14,9
North Carolina,1.06,28,1.05,26,1.07,29,1.2,33
North Dakota,1.66,21,1.64,17,1.67,24,2.97,16
Ohio,2.25,14,2.25,10,2.28,16,2.4,23
Oklahoma,1.05,29,1.05,25,2.08,19,2.42,22
Oregon,3.39,8,0.52,37,3.52,9,3.78,11
Pennsylvania,0.81,34,0.81,32,0.81,36,0.91,38
Rhode Island,2.17,15,1.81,14,7.49,3,8.42,2
South Carolina,2.12,16,2.12,12,2.33,15,2.56,20
South Dakota,1.55,23,1.55,19,1.55,25,2.8,18
Tennessee,2.27,13,2.24,11,2.27,17,2.44,21
Texas,0.58,39,0.58,35,0.59,38,0.65,44
Utah,2.55,11,2.55,9,3.41,10,3.71,14
Vermont,1.69,20,1.69,15,2.27,18,5.05,6
Virginia,0.52,40,0.52,36,0.53,40,0.64,45
Washington,0.85,32,0.85,30,1.0,31,1.15,34
West Virginia,0.61,37,0.22,47,1.04,30,1.69,28
Wisconsin,0.2,48,0.2,48,0.2,48,0.4,49
Wyoming,1.83,18,1.83,13,2.55,14,4.35,8
American Samoa,6.69,4,6.69,3,6.69,5,15.89,2
District of Columbia,63.73,1,62.31,1,63.73,1,65.16,1
Guam,2.49,18,2.22,17,2.49,20,4.86,12
Northern Marianas,4.09,9,4.09,8,4.09,11,11.44,4
Puerto Rico,6.49,5,5.31,7,6.49,6,7.43,7
Virgin Islands,3.51,12,3.51,11,3.51,14,7.11,9
